file,sheet,column,value,count
revocationV2.xlsx,revocation,OriginalDispositionEvent,8036.0,99
revocationV2.xlsx,revocation,OriginalDispositionEvent,8061.0,57
revocationV2.xlsx,revocation,OriginalDispositionEvent,8037.0,44
revocationV2.xlsx,revocation,OriginalDispositionEvent,8046.0,17
revocationV2.xlsx,revocation,OriginalDispositionEvent,8007.0,12
revocationV2.xlsx,revocation,OriginalDispositionEvent,9038.0,9
revocationV2.xlsx,revocation,OriginalDispositionEvent,8039.0,8
revocationV2.xlsx,revocation,OriginalDispositionEvent,8045.0,7
revocationV2.xlsx,revocation,OriginalDispositionEvent,8030.0,6
revocationV2.xlsx,revocation,OriginalDispositionEvent,,5
revocationV2.xlsx,revocation,OriginalDispositionEvent,8044.0,4
revocationV2.xlsx,revocation,OriginalDispositionEvent,8004.0,4
revocationV2.xlsx,revocation,OriginalDispositionEvent,8005.0,3
revocationV2.xlsx,revocation,OriginalDispositionEvent,8074.0,3
revocationV2.xlsx,revocation,OriginalDispositionEvent,8008.0,3
revocationV2.xlsx,revocation,OriginalDispositionEvent,8000.0,2
revocationV2.xlsx,revocation,OriginalDispositionEvent,8031.0,2
revocationV2.xlsx,revocation,OriginalDispositionEvent,8040.0,2
revocationV2.xlsx,revocation,OriginalDispositionEvent,9004.0,2
revocationV2.xlsx,revocation,OriginalDispositionEvent,9006.0,2
revocationV2.xlsx,revocation,OriginalDispositionEvent,8015.0,1
revocationV2.xlsx,revocation,OriginalDispositionEvent,8019.0,1
revocationV2.xlsx,revocation,OriginalDispositionEvent,8041.0,1
revocationV2.xlsx,revocation,OriginalDispositionMethodID,5.0,12347
revocationV2.xlsx,revocation,OriginalDispositionMethodID,2.0,6055
revocationV2.xlsx,revocation,OriginalDispositionMethodID,1.0,801
revocationV2.xlsx,revocation,OriginalDispositionMethodID,3.0,53
revocationV2.xlsx,revocation,OriginalDispositionMethodID,,2
revocationV2.xlsx,revocation,OriginalDispositionPleaID,,12354
revocationV2.xlsx,revocation,OriginalDispositionPleaID,2.0,5967
revocationV2.xlsx,revocation,OriginalDispositionPleaID,1.0,871
revocationV2.xlsx,revocation,OriginalDispositionPleaID,3.0,63
revocationV2.xlsx,revocation,OriginalDispositionPleaID,5.0,3
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,,18868
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,1.0,342
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,4.0,40
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,2.0,6
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,3.0,1
revocationV2.xlsx,revocation,OriginalDispositionVerdictID,6.0,1
revocationV2.xlsx,revocation,OriginalSentenceID,,12358
revocationV2.xlsx,revocation,OriginalSentenceID,20.0,6100
revocationV2.xlsx,revocation,OriginalSentenceID,4.0,463
revocationV2.xlsx,revocation,OriginalSentenceID,7.0,309
revocationV2.xlsx,revocation,OriginalSentenceID,3.0,9
revocationV2.xlsx,revocation,OriginalSentenceID,9.0,8
revocationV2.xlsx,revocation,OriginalSentenceID,16.0,6
revocationV2.xlsx,revocation,OriginalSentenceID,19.0,3
revocationV2.xlsx,revocation,OriginalSentenceID,15.0,1
revocationV2.xlsx,revocation,OriginalSentenceID,14.0,1
revocationV2.xlsx,revocation,LatestDispositionID,,3130
revocationV2.xlsx,revocation,LatestDispositionID,12.0,2284
revocationV2.xlsx,revocation,LatestDispositionID,102.0,2063
revocationV2.xlsx,revocation,LatestDispositionID,113.0,1844
revocationV2.xlsx,revocation,LatestDispositionID,76.0,1795
revocationV2.xlsx,revocation,LatestDispositionID,13.0,1729
revocationV2.xlsx,revocation,LatestDispositionID,6.0,1694
revocationV2.xlsx,revocation,LatestDispositionID,137.0,1096
revocationV2.xlsx,revocation,LatestDispositionID,4.0,953
revocationV2.xlsx,revocation,LatestDispositionID,75.0,686
revocationV2.xlsx,revocation,LatestDispositionID,74.0,663
revocationV2.xlsx,revocation,LatestDispositionID,5.0,608
revocationV2.xlsx,revocation,LatestDispositionID,114.0,561
revocationV2.xlsx,revocation,LatestDispositionID,72.0,37
revocationV2.xlsx,revocation,LatestDispositionID,7.0,34
revocationV2.xlsx,revocation,LatestDispositionID,171.0,19
revocationV2.xlsx,revocation,LatestDispositionID,79.0,10
revocationV2.xlsx,revocation,LatestDispositionID,84.0,8
revocationV2.xlsx,revocation,LatestDispositionID,83.0,6
revocationV2.xlsx,revocation,LatestDispositionID,78.0,6
revocationV2.xlsx,revocation,LatestDispositionID,20.0,5
revocationV2.xlsx,revocation,LatestDispositionID,87.0,5
revocationV2.xlsx,revocation,LatestDispositionID,136.0,3
revocationV2.xlsx,revocation,LatestDispositionID,98.0,3
revocationV2.xlsx,revocation,LatestDispositionID,101.0,3
revocationV2.xlsx,revocation,LatestDispositionID,51.0,2
revocationV2.xlsx,revocation,LatestDispositionID,95.0,2
revocationV2.xlsx,revocation,LatestDispositionID,147.0,2
revocationV2.xlsx,revocation,LatestDispositionID,37.0,1
revocationV2.xlsx,revocation,LatestDispositionID,81.0,1
revocationV2.xlsx,revocation,LatestDispositionMethodID,4.0,16217
revocationV2.xlsx,revocation,LatestDispositionMethodID,,3041
revocationV2.xlsx,revocation,LatestSentenceID,20.0,5549
revocationV2.xlsx,revocation,LatestSentenceID,,4847
revocationV2.xlsx,revocation,LatestSentenceID,16.0,3472
revocationV2.xlsx,revocation,LatestSentenceID,14.0,1592
revocationV2.xlsx,revocation,LatestSentenceID,4.0,1319
revocationV2.xlsx,revocation,LatestSentenceID,19.0,1277
revocationV2.xlsx,revocation,LatestSentenceID,7.0,979
revocationV2.xlsx,revocation,LatestSentenceID,9.0,137
revocationV2.xlsx,revocation,LatestSentenceID,3.0,60
revocationV2.xlsx,revocation,LatestSentenceID,18.0,14
revocationV2.xlsx,revocation,LatestSentenceID,15.0,4
revocationV2.xlsx,revocation,LatestSentenceID,2.0,3
revocationV2.xlsx,revocation,LatestSentenceID,5.0,2
revocationV2.xlsx,revocation,LatestSentenceID,11.0,2
revocationV2.xlsx,revocation,LatestSentenceID,8.0,1
revocationV2.xlsx,revocation,JailCaseTypeID,5.0,10504
revocationV2.xlsx,revocation,JailCaseTypeID,3.0,5768
revocationV2.xlsx,revocation,JailCaseTypeID,4.0,2946
revocationV2.xlsx,revocation,JailCaseTypeID,6.0,34
revocationV2.xlsx,revocation,JailCaseTypeID,1.0,3
revocationV2.xlsx,revocation,JailCaseTypeID,,2
revocationV2.xlsx,revocation,JailCaseTypeID,2.0,1
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceTypeID,1.0,57600
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceTypeID,2.0,17765
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceTypeID,3.0,8842
