code_column,OriginalDispositionID,n_cases,has_sentence_rate,has_plea_rate,has_verdict_rate,has_disposition_date_rate,unique_cases,unique_bookings,LatestDispositionID,DispositionID,DispositionTypeID,DispositionMethodID
OriginalDispositionID,18.0,6,1.0,0.5,0.5,1.0,2,2,,,,
OriginalDispositionID,3.0,6,0.0,1.0,1.0,1.0,2,2,,,,
OriginalDispositionID,2.0,5,0.0,1.0,1.0,1.0,3,3,,,,
OriginalDispositionID,17.0,4,0.0,0.0,0.0,1.0,1,1,,,,
OriginalDispositionID,82.0,4,1.0,0.0,0.0,1.0,4,4,,,,
OriginalDispositionID,158.0,3,1.0,0.0,0.0,1.0,3,3,,,,
OriginalDispositionID,170.0,3,1.0,0.0,0.0,1.0,2,0,,,,
OriginalDispositionID,30.0,2,0.0,0.0,0.0,1.0,2,1,,,,
OriginalDispositionID,197.0,2,1.0,0.0,0.0,1.0,2,2,,,,
OriginalDispositionID,96.0,2,1.0,0.0,0.0,1.0,2,1,,,,
OriginalDispositionID,14.0,2,0.5,1.0,1.0,1.0,2,0,,,,
OriginalDispositionID,6.0,1,1.0,0.0,0.0,1.0,1,1,,,,
OriginalDispositionID,5.0,1,1.0,1.0,1.0,1.0,1,1,,,,
OriginalDispositionID,13.0,1,1.0,0.0,0.0,1.0,1,1,,,,
OriginalDispositionID,28.0,1,0.0,0.0,0.0,1.0,1,0,,,,
OriginalDispositionID,74.0,1,1.0,0.0,0.0,1.0,1,1,,,,
OriginalDispositionID,36.0,1,0.0,0.0,0.0,1.0,1,0,,,,
OriginalDispositionID,137.0,1,1.0,0.0,0.0,1.0,1,1,,,,
OriginalDispositionID,179.0,1,1.0,1.0,0.0,1.0,1,1,,,,
LatestDispositionID,,258999,0.7561071664369361,0.43081247417943697,0.11960277838910575,0.8841308267599489,247702,184233,,,,
LatestDispositionID,,1735,1.0,0.9948126801152738,0.005187319884726225,1.0,1731,1686,102.0,,,
LatestDispositionID,,1670,1.0,0.9988023952095808,0.008982035928143712,1.0,1663,1627,113.0,,,
LatestDispositionID,,1343,0.6075949367088608,0.0014892032762472078,0.0014892032762472078,1.0,1311,1236,12.0,,,
LatestDispositionID,,1174,1.0,0.995741056218058,0.0008517887563884157,1.0,1171,1134,137.0,,,
LatestDispositionID,,916,1.0,0.9989082969432315,0.0,1.0,912,874,114.0,,,
LatestDispositionID,,879,0.664391353811149,0.0034129692832764505,0.0022753128555176336,1.0,870,823,13.0,,,
LatestDispositionID,,847,0.9940968122786304,0.0011806375442739079,0.0,1.0,837,778,6.0,,,
LatestDispositionID,,796,0.9974874371859297,0.0,0.0,1.0,780,717,76.0,,,
LatestDispositionID,,558,0.9982078853046595,0.0,0.0,1.0,547,542,75.0,,,
LatestDispositionID,,553,0.9963833634719711,0.0,0.0,1.0,550,514,4.0,,,
LatestDispositionID,,462,1.0,0.0,0.0,1.0,459,449,5.0,,,
LatestDispositionID,,417,1.0,0.0,0.0,1.0,414,393,74.0,,,
LatestDispositionID,,161,0.9937888198757764,0.2236024844720497,0.024844720496894408,1.0,152,132,147.0,,,
LatestDispositionID,,156,1.0,0.00641025641025641,0.0,1.0,155,131,155.0,,,
LatestDispositionID,,123,1.0,0.8617886178861789,0.04878048780487805,1.0,122,116,171.0,,,
LatestDispositionID,,112,0.0,0.0,0.0,1.0,42,40,24.0,,,
LatestDispositionID,,95,0.09473684210526316,0.0,0.0,1.0,60,53,37.0,,,
LatestDispositionID,,95,0.9578947368421052,0.031578947368421054,0.031578947368421054,1.0,90,74,72.0,,,
