file,sheet,n_rows_sample_or_full,n_columns,columns,target_code_columns_present,keyword_columns,is_lookup_like
171017_CCHCodes_Violent marked by Slayton.xlsx,Sheet1,2112,6,"['Code', 'Offense', 'Citation', 'Statute', 'L/D', 'Violent']",[],"['Code', 'Violent']",False
Booking2010_2012v3.csv,,5000,43,"['bookingID', 'BookingNumber', 'mni', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'bookingdate', 'bookingtime', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'HighestBookingCount', 'ArrestDate', 'ArrestTime', 'ArrestingAgencyID', 'INSHold', 'FederalHold', 'StateHold', 'TDC_BWHold', 'OtherHold', 'ActiveWrit', 'AgeofBooking', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'EligibleforBail', 'BailTypeID', 'BailAmount', 'MagistrationDate', 'JailChargeCourt']",[],"['bookingID', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'ArrestingAgencyID', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'BailTypeID', 'JailChargeCourt']",True
Booking2013_2016v3.csv,,5000,43,"['bookingID', 'BookingNumber', 'mni', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'bookingdate', 'bookingtime', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'HighestBookingCount', 'ArrestDate', 'ArrestTime', 'ArrestingAgencyID', 'INSHold', 'FederalHold', 'StateHold', 'TDC_BWHold', 'OtherHold', 'ActiveWrit', 'AgeofBooking', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'EligibleforBail', 'BailTypeID', 'BailAmount', 'MagistrationDate', 'JailChargeCourt']",[],"['bookingID', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'ArrestingAgencyID', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'BailTypeID', 'JailChargeCourt']",True
CaseData_v2.csv,,5000,81,"['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'SealedFlag', 'RestrictedFlag', 'CaseInitiationDate', 'DateCaseEntered', 'ReindictRefile', 'CaseStateIssue', 'LatestCasePhaseID', 'LatestAgeofPendingComplaint', 'CriminalDefendantID', 'PartyID', 'PersonID', 'MNI', 'OriginalBookingNumber', 'BookingDate', 'IndictFilingDate', 'CalendarDaysBookingtoIndictFiling', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'CountNumber', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'OffenseDate', 'CriminalDefendantHistoryID', 'ActivationDate', 'ActivationEventID', 'ActivationTypeID', 'AssociatedBookingNumber', 'AssociatedBookingDate', 'InactivityDays', 'CalendarDaysFilingtoCurrent', 'AgeofCase', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'UnabletoCalcAgeInactivity', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneySBN', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'CurrentAttorneyFlag', 'AttorneyStartDate', 'AttorneyEndDate', 'CurrentLeadAttorneyFlag', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']","['DispositionID', 'DispositionTypeID', 'DispositionMethodID', 'DispositionEventID', 'OriginalDispositionID', 'OriginalDispositionEvent', 'OriginalDispositionMethodID', 'OriginalDispositionPleaID', 'OriginalDispositionVerdictID', 'OriginalSentenceID', 'LatestDispositionID', 'LatestDispositionMethodID', 'LatestSentenceID', 'JailCaseTypeID']","['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'LatestCasePhaseID', 'CriminalDefendantID', 'PartyID', 'PersonID', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'CriminalDefendantHistoryID', 'ActivationEventID', 'ActivationTypeID', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']",True
CaseIDtoBookingChargeIDUPDATED.xlsx,Sheet2,5000,2,"['BookingChargeID', 'CaseID']",[],"['BookingChargeID', 'CaseID']",False
CaseIDtoBookingChargeIDUPDATED.xlsx,Sheet3,0,0,[],[],[],False
chargecode_description.dta,,7041,3,"['chargecode', 'chargecode_numeric', 'chargecode_description']",[],"['chargecode', 'chargecode_numeric', 'chargecode_description']",True
Events.xlsx,Events,5000,16,"['EventID', 'CaseID', 'PartyID', 'EventDate', 'EventDateSeq', 'EventCodeID', 'EventResultID', 'AssociatedCountNo', 'DivisionID', 'EventCodeID.1', 'DivisionID.1', 'EventCode', 'EventDescription', 'EventCategoryID', 'AssociatedCaseStatusID', 'CourtJudgeIdentifier']",[],"['EventID', 'CaseID', 'PartyID', 'EventDate', 'EventDateSeq', 'EventCodeID', 'EventResultID', 'DivisionID', 'EventCodeID.1', 'DivisionID.1', 'EventCode', 'EventDescription', 'EventCategoryID', 'AssociatedCaseStatusID', 'CourtJudgeIdentifier']",True
Mental Health Flag Events.xlsx,Sheet1,5000,7,"['BookingNumber', 'MNI', 'BookingDate', 'Event', 'EventDescription', 'EventEntryDate', 'EventEntryTime']",[],"['Event', 'EventDescription', 'EventEntryDate', 'EventEntryTime']",False
Mental Health Flag Events.xlsx,Sheet2,0,0,[],[],[],False
Mental Health Flag Events.xlsx,Sheet3,0,0,[],[],[],False
PersonData.xlsx,PersonData,5000,7,"['PersonID', 'MNI', 'DateofBirth', 'GenderID', 'RaceID', 'EthnicityID', 'CitizenshipID']",[],"['PersonID', 'GenderID', 'RaceID', 'EthnicityID', 'CitizenshipID']",False
PreTrial Charge-Interview.csv,,5000,37,"['PA_MAST_NO', 'PK_BKG_NO', 'BJ_BK_DATE', 'PK_CHG_DT', 'INT_OFF', 'OFF_REC', 'PK_BND_REC', 'PK_BND_GRT', 'PK_GRNT_DT', 'PK_ATY_REC', 'PK_ATY_BND', 'PK_CNTY_NO', 'PK_BND_AMT', 'PK_BND_TYP', 'PK_BND_STS', 'PK_SEQ_No', 'PK_CHARGE', 'PK_CHG_LIT', 'PK_LVL', 'PK_INT_DT', 'PK_INT_TYPE', 'JUDGE', 'PK_BNDRSN_1', 'PK_BNDRSN_2', 'PK_BNDRSN_3', 'PK_BND_CND1', 'PK_BND_CND2', 'PK_BND_CND3', 'PK_BND_CND4', 'PK_BND_CND5', 'PK_BND_CND6', 'PK_BND_CD1', 'PK_BND_CD2', 'PK_BND_CD3', 'PK_BND_CD4', 'PK_BND_CD5', 'PK_BND_CD6']",[],"['PK_CHARGE', 'PK_INT_TYPE']",False
PreTrial Charge-Interview.xlsx,Charges,5000,37,"['PA_MAST_NO', 'PK_BKG_NO', 'BJ_BK_DATE', 'PK_CHG_DT', 'INT_OFF', 'OFF_REC', 'PK_BND_REC', 'PK_BND_GRT', 'PK_GRNT_DT', 'PK_ATY_REC', 'PK_ATY_BND', 'PK_CNTY_NO', 'PK_BND_AMT', 'PK_BND_TYP', 'PK_BND_STS', 'PK_SEQ_No', 'PK_CHARGE', 'PK_CHG_LIT', 'PK_LVL', 'PK_INT_DT', 'PK_INT_TYPE', 'JUDGE', 'PK_BNDRSN_1', 'PK_BNDRSN_2', 'PK_BNDRSN_3', 'PK_BND_CND1', 'PK_BND_CND2', 'PK_BND_CND3', 'PK_BND_CND4', 'PK_BND_CND5', 'PK_BND_CND6', 'PK_BND_CD1', 'PK_BND_CD2', 'PK_BND_CD3', 'PK_BND_CD4', 'PK_BND_CD5', 'PK_BND_CD6']",[],"['PK_CHARGE', 'PK_INT_TYPE']",False
PreTrial Defendants.xlsx,Sheet1,5000,13,"['PA_MAST_NO', 'PA_BKG_NO', 'BJ_BK_DATE', 'PA_PTS_RISK', 'PTS_OFF', 'PB_MNI', 'PB_SEX', 'PB_RAC', 'PB_DOB', 'PB_CITY', 'PB_ST', 'PB_ZIP', 'PC_ETHNIC']",[],[],False
PreTrial Defendants.xlsx,Sheet2,0,0,[],[],[],False
PreTrial Defendants.xlsx,Sheet3,0,0,[],[],[],False
