complete_key,complete_unique,raw_unique,shared_unique,complete_overlap_pct,raw_overlap_pct,raw_file,raw_sheet,raw_key
PK_BKG_NO,85416,8,0,0.0,0.0,CaseData_v2.csv,,JailCaseTypeID
pretrial_id,85459,269736,0,0.0,0.0,CaseData_v2.csv,,CaseChargeID
defendant_booking_id,85420,269736,1681,1.97,0.62,CaseData_v2.csv,,CaseChargeID
person_mni,66177,269736,4425,6.69,1.64,CaseData_v2.csv,,CaseChargeID
PK_BKG_NO,85416,269736,1679,1.97,0.62,CaseData_v2.csv,,CaseChargeID
pretrial_id,85459,1151,0,0.0,0.0,CaseData_v2.csv,,CsMgmtChargeID
defendant_booking_id,85420,1151,0,0.0,0.0,CaseData_v2.csv,,CsMgmtChargeID
person_mni,66177,1151,24,0.04,2.09,CaseData_v2.csv,,CsMgmtChargeID
PK_BKG_NO,85416,1151,0,0.0,0.0,CaseData_v2.csv,,CsMgmtChargeID
pretrial_id,85459,5,0,0.0,0.0,CaseData_v2.csv,,CurrentChargeStateID
defendant_booking_id,85420,5,0,0.0,0.0,CaseData_v2.csv,,CurrentChargeStateID
person_mni,66177,5,0,0.0,0.0,CaseData_v2.csv,,CurrentChargeStateID
PK_BKG_NO,85416,5,0,0.0,0.0,CaseData_v2.csv,,CurrentChargeStateID
pretrial_id,85459,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionPleaID
defendant_booking_id,85420,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionPleaID
person_mni,66177,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionPleaID
PK_BKG_NO,85416,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionPleaID
pretrial_id,85459,2,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionTrialTypeID
defendant_booking_id,85420,2,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionTrialTypeID
person_mni,66177,2,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionTrialTypeID
PK_BKG_NO,85416,2,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionTrialTypeID
pretrial_id,85459,6,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionVerdictID
defendant_booking_id,85420,6,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionVerdictID
person_mni,66177,6,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionVerdictID
PK_BKG_NO,85416,6,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionVerdictID
pretrial_id,85459,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionMethodID
defendant_booking_id,85420,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionMethodID
person_mni,66177,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionMethodID
PK_BKG_NO,85416,4,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionMethodID
pretrial_id,85459,74,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionID
defendant_booking_id,85420,74,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionID
person_mni,66177,74,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionID
PK_BKG_NO,85416,74,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionID
pretrial_id,85459,15,0,0.0,0.0,CaseData_v2.csv,,OriginalSentenceID
defendant_booking_id,85420,15,0,0.0,0.0,CaseData_v2.csv,,OriginalSentenceID
person_mni,66177,15,0,0.0,0.0,CaseData_v2.csv,,OriginalSentenceID
PK_BKG_NO,85416,15,0,0.0,0.0,CaseData_v2.csv,,OriginalSentenceID
pretrial_id,85459,1,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionMethodID
