,gender,race,age
bond_recommendation,-0.13920829326520803,0.08396106306748746,-0.14216560271974404
bond_granted_raw,-0.13333121572929404,0.08046905385246035,-0.13910392814964764
bond_granted_flag,-0.12290740756561108,0.07122792143372646,-0.09569062219175059
bond_amount,0.09226020008039423,-0.028527646802235056,0.04938507529078013
unique_pretrial_charges,0.0859543200122935,-0.040506817154881816,-0.024354966447330515
pretrial_charge_rows,0.08512995653681289,-0.043765822881722184,-0.025698781515592007
ethnicity,-0.05913261250163548,-0.4066624538202594,0.1122552635745898
bond_status,0.053393761986384396,-0.009685321142302694,0.006680937042876542
charge_code,0.04576386179382843,0.06864532513796531,0.07292359639263607
charge_level,-0.042737515320522,-0.015109342139363664,0.010027990794059983
bond_type,0.03853339003899695,0.01671291104251344,0.027705545554885507
tcud_score,0.03670680625369836,-0.013595169200440915,-0.007718233564313584
risk_score,0.03563377624644695,-0.15926067111929507,-0.12499601089776471
tcud_score_max,0.03452635164842328,-0.021141388752940738,0.009445273157370497
charge_description,-0.033842047870759506,-0.02179610119365547,-0.05163753824405301
tcud_event_disposition,0.030320873611167025,-0.018559806398323508,0.04139219074856538
tcud_event_count,-0.017840520463876183,-0.0140126350886793,0.03283234780343492
tcud_event,0.01586553772633928,0.00843680230957991,-0.02822430368802957
attorney_recommendation,0.014506632900489706,0.040004645223217006,-0.007231834593252924
interview_officer,0.014226044605897737,0.006239273894859554,-0.004798805730311977
city,-0.006913812303009552,0.03835596989900788,-0.01566699878543186
zip_code,-0.00677214891264684,0.026344841048143483,-0.025596046932280857
state,-0.00561561604629076,-0.007846362457093716,-0.00991257868647236
attorney_bond,-0.00458354068821285,0.032237637147224704,-0.012412305258624547
judge,0.003617833543205826,0.006888246158731589,-0.00132928793890625
officer_recommendation,0.0021257702656371845,0.017296257752193143,0.0014932595561710895
