dataset,column,count,mean,std,min,25%,50%,75%,max
booking_2013_2016,ChargeDispositionTypeID,283895.0,28.87629229116399,22.817665185638333,1.0,6.0,18.0,54.0,75.0
booking_2013_2016,BookingAuthorityID,289867.0,23.654589863627113,11.050861065838616,1.0,9.0,32.0,32.0,42.0
booking_2013_2016,ChargeStatusID,280585.0,20.917297788548925,11.598876496787836,4.0,4.0,24.0,24.0,44.0
booking_2013_2016,OpenCharge,289867.0,0.020585302914785056,0.14199161163044363,0.0,0.0,0.0,0.0,1.0
booking_2013_2016,EligibleforBail,289867.0,0.44756043288818664,0.4972433456385163,0.0,0.0,0.0,1.0,1.0
booking_2013_2016,BailTypeID,129733.0,2.6936245982132534,1.602795578134749,2.0,2.0,2.0,2.0,7.0
booking_2013_2016,BailAmount,289867.0,3892.4696878223463,18628.678294704594,0.0,0.0,0.0,3000.0,2000000.0
case_data,CaseID,271699.0,1420488.2262098866,583141.8836169069,213.0,1369038.0,1473005.0,2004893.0,2137407.0
case_data,DivisionID,271699.0,1.709023588603565,0.45421349466947064,1.0,1.0,2.0,2.0,2.0
case_data,CourtTypeID,271699.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
case_data,CaseTypeID,271698.0,166.07724753218648,55.19875625478661,80.0,80.0,202.0,203.0,204.0
case_data,CaseStatusID,271699.0,110.20757161417598,37.13705732177631,1.0,81.0,135.0,142.0,166.0
case_data,CaseStateID,271699.0,2.7885306902123306,0.5851445974677316,1.0,3.0,3.0,3.0,3.0
case_data,SealedFlag,271699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_data,RestrictedFlag,271699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_data,LatestCasePhaseID,0.0,,,,,,,
case_data,LatestAgeofPendingComplaint,0.0,,,,,,,
case_data,CriminalDefendantID,271699.0,640407.2382710279,333766.1945559678,5.0,347363.0,693574.0,971095.5,1057432.0
case_data,PartyID,271699.0,3169022.1219364074,1017753.8935599666,807.0,3352463.5,3561393.0,3791983.0,4129035.0
case_data,PersonID,271699.0,663236.7133408661,837105.6415329566,69724.0,254741.0,384289.0,441339.5,2945099.0
case_data,MNI,271674.0,1914127.6648888006,3302954.2951054494,23.0,797216.0,1549905.5,1866701.75,923663827.0
case_data,OriginalBookingNumber,261248.0,1282581.03288829,180060.29753906626,119524.0,1127410.75,1302134.5,1430647.25,1618085.0
case_data,CalendarDaysBookingtoIndictFiling,220897.0,58.595100884122466,139.19750353213811,1.0,12.0,26.0,51.0,8406.0
case_data,JailCaseTypeID,271699.0,3.993857172827283,1.2146688070684881,1.0,3.0,4.0,5.0,8.0
case_data,HighestLevelChargeCount,271685.0,1.017844194563557,0.38815694664567746,1.0,1.0,1.0,1.0,28.0
case_data,HighestLevelDispositionCount,239864.0,1.0397058333055398,0.5990095956225778,1.0,1.0,1.0,1.0,28.0
case_data,CaseChargeID,271699.0,645705.2130261797,340177.70730129996,1.0,345957.0,692165.0,990098.5,1075284.0
case_data,CountNumber,271699.0,1.1391024626516844,1.1571471262826247,1.0,1.0,1.0,1.0,56.0
case_data,CsMgmtChargeID,271699.0,2282.2522570933274,1823.1373234638304,2.0,1348.0,1699.0,4148.0,7128.0
case_data,CurrentChargeStateID,271699.0,2.0487451186791263,1.0247229483871498,1.0,2.0,2.0,2.0,10.0
case_data,OriginalDispositionPleaID,117305.0,1.7280763820809002,0.4720065570481822,1.0,1.0,2.0,2.0,5.0
case_data,OriginalDispositionTrialTypeID,170032.0,1.9933424296602993,0.08132211256007625,1.0,2.0,2.0,2.0,2.0
case_data,OriginalDispositionVerdictID,31039.0,1.0457488965495023,0.3710406057214402,1.0,1.0,1.0,1.0,6.0
case_data,OriginalDispositionMethodID,240638.0,2.341853738810994,1.1973058646650414,1.0,2.0,2.0,2.0,5.0
